* This data was exported from the Dayton Audio Test System: DATS
*
* Piston Diameter = 0 mm
* f(s)= 0 Hz
* R(e)= 0 Ohms
* Z(max)= 0 Ohms
* Q(ms)= 0
* Q(es)= 0
* Q(ts)= 0
* V(as)= 0 liters     (0 cubic feet)
* L(e)= 0 mH
* n(0)= 0 %
* SPL= 0 1W/1m
* M(ms)= 0 grams
* C(ms)= 0 mm/N
* BL= 0 
* K(r)= 973.6 
* X(r)= 0.002257 
* K(i)= 0 
* X(i)= 2.218 
*
*
Freq            Impedance       Phase
1.029    	0.388    	-2.205    
1.059    	0.388    	-2.205    
1.091    	0.388    	-2.205    
1.122    	0.388    	-2.205    
1.155    	0.388    	-2.205    
1.189    	0.388    	-2.205    
1.224    	0.388    	-2.205    
1.260    	0.388    	-2.205    
1.297    	0.388    	-2.205    
1.335    	0.387    	-1.960    
1.374    	0.387    	-1.960    
1.414    	0.387    	-1.960    
1.456    	0.387    	-1.960    
1.498    	0.387    	-1.960    
1.542    	0.387    	-1.960    
1.587    	0.387    	-1.960    
1.634    	0.387    	-1.960    
1.682    	0.388    	-1.720    
1.731    	0.388    	-1.720    
1.782    	0.388    	-1.720    
1.834    	0.388    	-1.720    
1.888    	0.388    	-1.720    
1.943    	0.388    	-1.720    
2.000    	0.388    	-1.508    
2.059    	0.388    	-1.508    
2.119    	0.388    	-1.508    
2.181    	0.388    	-1.508    
2.245    	0.388    	-1.508    
2.311    	0.388    	-1.508    
2.378    	0.390    	-1.158    
2.448    	0.390    	-1.158    
2.520    	0.390    	-1.158    
2.594    	0.390    	-1.158    
2.670    	0.389    	-0.816    
2.748    	0.389    	-0.816    
2.828    	0.389    	-0.816    
2.911    	0.389    	-0.816    
2.997    	0.387    	-0.539    
3.084    	0.387    	-0.539    
3.175    	0.387    	-0.539    
3.268    	0.387    	-0.539    
3.364    	0.387    	-0.346    
3.462    	0.387    	-0.346    
3.564    	0.387    	-0.346    
3.668    	0.386    	-0.136    
3.775    	0.386    	-0.136    
3.886    	0.386    	-0.136    
4.000    	0.389    	0.123    
4.117    	0.389    	0.123    
4.238    	0.389    	0.123    
4.362    	0.391    	0.322    
4.490    	0.391    	0.322    
4.621    	0.391    	0.322    
4.757    	0.392    	0.507    
4.896    	0.392    	0.507    
5.040    	0.392    	0.665    
5.187    	0.392    	0.665    
5.339    	0.391    	0.741    
5.496    	0.391    	0.741    
5.657    	0.391    	0.789    
5.823    	0.391    	0.789    
5.993    	0.392    	0.825    
6.169    	0.392    	0.825    
6.350    	0.392    	0.797    
6.536    	0.392    	0.797    
6.727    	0.391    	0.725    
6.924    	0.391    	0.725    
7.127    	0.390    	0.650    
7.336    	0.388    	0.589    
7.551    	0.388    	0.589    
7.772    	0.387    	0.531    
8.000    	0.387    	0.493    
8.234    	0.387    	0.493    
8.476    	0.388    	0.514    
8.724    	0.388    	0.577    
8.980    	0.388    	0.664    
9.243    	0.388    	0.664    
9.514    	0.389    	0.788    
9.792    	0.389    	0.916    
10.079    	0.390    	0.987    
10.375    	0.390    	0.988    
10.679    	0.390    	0.939    
10.992    	0.389    	0.875    
11.314    	0.389    	0.836    
11.645    	0.389    	0.827    
11.986    	0.389    	0.822    
12.338    	0.389    	0.800    
12.699    	0.389    	0.776    
13.071    	0.390    	0.780    
13.454    	0.390    	0.811    
13.849    	0.390    	0.853    
14.254    	0.389    	0.901    
14.672    	0.389    	0.931    
15.102    	0.389    	0.876    
15.545    	0.389    	0.813    
16.000    	0.390    	0.756    
16.469    	0.390    	0.757    
16.951    	0.391    	0.770    
17.448    	0.391    	0.815    
17.959    	0.392    	0.934    
18.486    	0.391    	1.027    
19.027    	0.391    	1.062    
19.585    	0.392    	1.099    
20.159    	0.392    	1.106    
20.749    	0.392    	1.095    
21.357    	0.392    	1.100    
21.983    	0.392    	1.131    
22.627    	0.392    	1.166    
23.290    	0.392    	1.180    
23.973    	0.392    	1.216    
24.675    	0.392    	1.300    
25.398    	0.392    	1.411    
26.143    	0.391    	1.532    
26.909    	0.391    	1.604    
27.697    	0.391    	1.610    
28.509    	0.391    	1.618    
29.344    	0.391    	1.605    
30.204    	0.391    	1.600    
31.089    	0.391    	1.603    
32.000    	0.392    	1.626    
32.938    	0.392    	1.657    
33.903    	0.393    	1.660    
34.896    	0.392    	1.623    
35.919    	0.392    	1.668    
36.971    	0.392    	1.783    
38.055    	0.392    	1.983    
39.170    	0.391    	2.195    
40.317    	0.391    	2.268    
41.499    	0.392    	2.216    
42.715    	0.391    	2.119    
43.967    	0.391    	2.077    
45.255    	0.390    	2.255    
46.581    	0.391    	2.342    
47.946    	0.392    	2.351    
49.351    	0.388    	2.567    
50.797    	0.390    	2.433    
52.285    	0.393    	2.514    
53.817    	0.394    	2.762    
55.394    	0.395    	3.026    
57.018    	0.395    	2.932    
58.688    	0.392    	2.948    
60.408    	0.392    	3.188    
62.178    	0.395    	3.320    
64.000    	0.396    	3.289    
65.875    	0.395    	3.381    
67.806    	0.396    	3.558    
69.792    	0.395    	3.631    
71.838    	0.395    	3.613    
73.943    	0.395    	3.725    
76.109    	0.395    	3.963    
78.339    	0.396    	4.104    
80.635    	0.398    	4.185    
82.998    	0.397    	4.419    
85.430    	0.397    	4.530    
87.933    	0.395    	4.434    
90.510    	0.396    	4.581    
93.162    	0.397    	4.650    
95.892    	0.396    	4.847    
98.701    	0.396    	4.863    
101.594    	0.397    	5.038    
